"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-t65n11xx_150",150,"best","insert","random",3.151698,540541,11,1.85062453130646
"N-t65n11xx_250",250,"best","exchange","CW",8.651985,1377871,16,3.60237644487541
"N-t65n11xx_250",250,"best","exchange","random",5.539397,1369975,11,4.15479073880515
"N-t65n11xx_250",250,"best","transpose","CW",0.036278,1142838,8,20.0455867722802
"N-t65n11xx_250",250,"best","transpose","random",0.026617,952838,6,33.3382306231731
"N-t65n11xx_250",250,"best","insert","CW",13.369343,1383756,13,3.19065429191485
"N-t65n11xx_250",250,"best","insert","random",14.085218,1387205,14,2.94935782537944
"N-t69r11xx_150",150,"best","exchange","CW",0.458553,11271106,7,4.93297166985339
"N-t69r11xx_150",150,"best","exchange","random",0.783994,11372692,12,4.07613657843057
"N-t69r11xx_150",150,"best","transpose","CW",0.005857,8789899,6,25.8609068841933
"N-t69r11xx_150",150,"best","transpose","random",0.005098,7600701,6,35.8912907663211
"N-t69r11xx_150",150,"best","insert","CW",1.596218,11514982,12,2.87598040377508
"N-t69r11xx_150",150,"best","insert","random",1.984204,11651550,14,1.72408688729219
"N-t69r11xx_250",250,"best","exchange","CW",9.508977,30862707,16,2.99604660269682
"N-t69r11xx_250",250,"best","exchange","random",8.858655,30585173,16,3.86835813396228
"N-t69r11xx_250",250,"best","transpose","CW",0.026844,25031531,6,21.3238985618744
"N-t69r11xx_250",250,"best","transpose","random",0.030557,21060290,7,33.8058262454525
"N-t69r11xx_250",250,"best","insert","CW",11.833713,30995639,11,2.57823070816073
"N-t69r11xx_250",250,"best","insert","random",27.201775,31117730,27,2.19448894259784
"N-t70b11xx_150",150,"best","exchange","CW",0.87852,9435201,12,2.19781244956453
"N-t70b11xx_150",150,"best","exchange","random",0.849929,9299635,12,3.60304497799316
"N-t70b11xx_150",150,"best","transpose","CW",0.008011,7739769,9,19.7721024348028
"N-t70b11xx_150",150,"best","transpose","random",0.006673,6051685,6,37.2702254709617
"N-t70b11xx_150",150,"best","insert","CW",1.353589,9452208,10,2.02152348617411
"N-t70b11xx_150",150,"best","insert","random",1.413859,9479197,11,1.74176439680244
"N-t70b11xx_250",250,"best","exchange","CW",7.179421,24434577,14,3.81240910292447
"N-t70b11xx_250",250,"best","exchange","random",6.008369,24289429,10,4.38378942366949
"N-t70b11xx_250",250,"best","transpose","CW",0.05373,20830150,9,18.0013655843227
"N-t70b11xx_250",250,"best","transpose","random",0.051795,16816083,8,33.8028846541822
"N-t70b11xx_250",250,"best","insert","CW",17.773607,24992029,17,1.61797926193494
"N-t70b11xx_250",250,"best","insert","random",20.095382,24632759,18,3.03225853436074
"N-t70d11xn_150",150,"best","exchange","CW",0.647736,5581160,10,4.18851232423834
"N-t70d11xn_150",150,"best","exchange","random",0.661287,5627922,10,3.38575146687285
"N-t70d11xn_150",150,"best","transpose","CW",0.008245,4698008,8,19.3495374451495
"N-t70d11xn_150",150,"best","transpose","random",0.008114,3608392,6,38.0549194724185
"N-t70d11xn_150",150,"best","insert","CW",1.502711,5689323,12,2.33168364678179
"N-t70d11xn_150",150,"best","insert","random",1.698178,5703947,14,2.08063418828744
"N-t70d11xn_250",250,"best","exchange","CW",7.981991,14720735,16,3.19804027904665
