"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-t59n11xx_250",250,"first","transpose","random",0.025007,551214,5,33.2353853160338
"N-t59n11xx_250",250,"first","insert","CW",11.094876,808257,12,2.10160269764828
"N-t59n11xx_250",250,"first","insert","random",13.958047,807596,15,2.18166490634781
"N-t65b11xx_150",150,"first","exchange","CW",0.601377,6279643,10,2.69906145740301
"N-t65b11xx_150",150,"first","exchange","random",0.714857,6247801,12,3.19244244818121
"N-t65b11xx_150",150,"first","transpose","CW",0.0045,5269515,6,18.3506522322538
"N-t65b11xx_150",150,"first","transpose","random",0.00764,4321260,6,33.0435418563471
"N-t65b11xx_150",150,"first","insert","CW",1.483664,6338300,12,1.79019113593838
"N-t65b11xx_150",150,"first","insert","random",1.359374,6238015,11,3.344073199257
"N-t65b11xx_250",250,"first","exchange","CW",6.406061,16674993,14,3.46765739670196
"N-t65b11xx_250",250,"first","exchange","random",6.289903,16621843,13,3.77534532252989
"N-t65b11xx_250",250,"first","transpose","CW",0.03042,14276221,7,17.3542647572687
"N-t65b11xx_250",250,"first","transpose","random",0.034463,10983195,8,36.4177518623948
"N-t65b11xx_250",250,"first","insert","CW",15.790993,16964217,17,1.79332564393323
"N-t65b11xx_250",250,"first","insert","random",14.329333,16880928,15,2.27548970139856
"N-t65d11xx_150",150,"first","exchange","CW",0.711093,3431561,12,3.59015291287981
"N-t65d11xx_150",150,"first","exchange","random",0.711524,3417116,12,3.99598578053783
"N-t65d11xx_150",150,"first","transpose","CW",0.005554,2880856,7,19.0622324825312
"N-t65d11xx_150",150,"first","transpose","random",0.00777,2385962,8,32.9662997173358
"N-t65d11xx_150",150,"first","insert","CW",1.24371,3473599,10,2.40909357811981
"N-t65d11xx_150",150,"first","insert","random",1.783307,3477555,14,2.29794959581069
"N-t65d11xx_250",250,"first","exchange","CW",4.871726,9003959,10,3.71843781063884
"N-t65d11xx_250",250,"first","exchange","random",4.757778,8941916,10,4.3818789661255
"N-t65d11xx_250",250,"first","transpose","CW",0.035552,7696124,8,17.7034411725959
"N-t65d11xx_250",250,"first","transpose","random",0.035061,6291686,8,32.7214443241098
"N-t65d11xx_250",250,"first","insert","CW",12.39209,9142349,13,2.23859928723089
"N-t65d11xx_250",250,"first","insert","random",17.218926,9150164,18,2.15503155791206
"N-t65f11xx_150",150,"first","exchange","CW",0.607673,3040614,10,3.75751030441303
"N-t65f11xx_150",150,"first","exchange","random",0.889719,3050983,15,3.42930739024716
"N-t65f11xx_150",150,"first","transpose","CW",0.005105,2503246,6,20.766454617219
"N-t65f11xx_150",150,"first","transpose","random",0.007949,2143139,7,32.1646768962747
"N-t65f11xx_150",150,"first","insert","CW",1.63736,3096544,13,1.98719600319815
"N-t65f11xx_150",150,"first","insert","random",1.703115,3075505,14,2.65312918008461
"N-t65f11xx_250",250,"first","exchange","CW",4.854863,8071992,10,4.01417813782802
"N-t65f11xx_250",250,"first","exchange","random",4.683932,8159928,10,2.9685119340865
"N-t65f11xx_250",250,"first","transpose","CW",0.042978,6790423,10,19.2535953396887
"N-t65f11xx_250",250,"first","transpose","random",0.043341,5792510,9,31.1199970224388
"N-t65f11xx_250",250,"first","insert","CW",14.149962,8244965,15,1.95731837322897
"N-t65f11xx_250",250,"first","insert","random",12.397854,8229953,13,2.13582934769412
"N-t65l11xx_150",150,"first","exchange","CW",0.46612,247376,8,2.37572810936242
"N-t65l11xx_150",150,"first","exchange","random",0.604273,248067,10,2.10303240777281
"N-t65l11xx_150",150,"first","transpose","CW",0.002495,209910,3,17.1612811567665
"N-t65l11xx_150",150,"first","transpose","random",0.003634,128191,4,49.4108036433093
"N-t65l11xx_150",150,"first","insert","CW",1.248487,248257,10,2.02805095581619
"N-t65l11xx_150",150,"first","insert","random",1.211967,249678,10,1.46726862302483
"N-t65l11xx_250",250,"first","exchange","CW",6.537145,647136,14,2.86947620577137
"N-t65l11xx_250",250,"first","exchange","random",6.064857,646254,13,3.00185815019497
"N-t65l11xx_250",250,"first","transpose","CW",0.022575,541550,4,18.7171859380957
"N-t65l11xx_250",250,"first","transpose","random",0.013768,395635,3,40.6179925373806
"N-t65l11xx_250",250,"first","insert","CW",11.365108,652074,12,2.12831742848823
"N-t65l11xx_250",250,"first","insert","random",11.22679,653964,12,1.84464183329481
"N-t65n11xx_150",150,"first","exchange","CW",0.76212,530026,13,3.75989817207249
"N-t65n11xx_150",150,"first","exchange","random",0.546215,521716,9,5.26879631327703
"N-t65n11xx_150",150,"first","transpose","CW",0.005454,424213,7,22.9730195938867
"N-t65n11xx_150",150,"first","transpose","random",0.007076,342935,6,37.7311691872468
"N-t65n11xx_150",150,"first","insert","CW",1.241004,539751,10,1.99406972162554
"N-t65n11xx_150",150,"first","insert","random",1.327502,540541,11,1.85062453130646
"N-t65n11xx_250",250,"first","exchange","CW",6.497698,1380709,14,3.40382632251312
